City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
130,Suffolk,US,43.86,overcast clouds,40.8668,-72.7996,Greenwood Village
131,Shache,CN,58.98,clear sky,38.4167,77.2406,Delong Hotel
132,Lake City,US,62.85,clear sky,30.1897,-82.6393,Ramada Limited Lake City
134,La Ciotat,FR,44.47,clear sky,43.1748,5.6045,ibis La Ciotat
136,Chuy,UY,63.12,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
138,Mwinilunga,ZM,62.91,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
139,Rongcheng,CN,63.66,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
144,Motril,ES,51.28,overcast clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
145,Aquiraz,BR,77.09,moderate rain,-3.9014,-38.3911,Pousada Rua Camurupim
146,Ancud,CL,51.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
147,Qui Nhon,VN,73.13,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
149,Margate,GB,40.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
150,Marsa Matruh,EG,59.2,scattered clouds,31.3525,27.2453,Beau Site
153,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
154,Esperance,AU,66.04,light rain,-33.8667,121.9,Hospitality Esperance
156,Esmeralda,CU,75.69,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
164,Willowmore,ZA,56.61,clear sky,-33.2926,23.4895,Jumper's Place
165,Inhambane,MZ,75.22,clear sky,-23.865,35.3833,Oceano
166,Tezu,IN,65.64,light rain,27.9167,96.1667,Circuit House
167,Kruisfontein,ZA,57.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
169,Kalabo,ZM,65.16,moderate rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
170,Vestmannaeyjar,IS,42.93,overcast clouds,63.4427,-20.2734,Glamping & Camping
174,Hobart,AU,67.86,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
177,Abu Dhabi,AE,72.97,mist,24.4667,54.3667,Beach Rotana
178,Cidreira,BR,68.65,overcast clouds,-30.1811,-50.2056,Hotel Castelo
180,Ponta Do Sol,PT,60.71,overcast clouds,32.6667,-17.1,Hotel do Campo
181,La Ronge,CA,41.25,few clouds,55.1001,-105.2842,Northland Motor Hotel
182,Porterville,US,78.75,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
184,Yinchuan,CN,58.05,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
185,Pascagoula,US,66.92,clear sky,30.3658,-88.5561,Regency Inn
186,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
187,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
188,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
189,San Patricio,US,74.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
193,Praya,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
194,Laguna,US,77.13,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
198,Ribeira Grande,PT,59.9,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
199,Fortuna,US,54.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
200,Bethel,US,41.76,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
203,Hasaki,JP,54.0,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
205,Benguela,AO,75.65,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
206,Korcula,HR,48.92,overcast clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
208,Pizarro,CO,79.23,light rain,4.9533,-77.366,Hotel Limonar
209,Beidao,CN,55.54,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
210,Itacare,BR,76.55,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
211,Havelock,US,64.38,clear sky,34.8791,-76.9013,Sherwood Motel
212,Praia Da Vitoria,PT,57.76,few clouds,38.7333,-27.0667,Hotel Branco I
214,Grand Baie,MU,79.45,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
215,Lompoc,US,59.56,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
216,Golden,US,49.69,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
218,Paita,PE,72.34,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
219,Nuevo Progreso,MX,73.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
220,Sao Felix Do Xingu,BR,72.72,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
222,Hit,IQ,69.15,overcast clouds,33.6416,42.8251,بيت ابو رباح
224,Inirida,CO,74.1,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
226,Altamira,BR,73.8,moderate rain,-3.2033,-52.2064,Requinte Hotel
228,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
